Parameter,Min,Max,Range
NImperv,0.01,0.025,0.015
NPerv,0.05,0.5,0.45
SImperv,1.27,2.54,1.27
SPerv,2.54,5.08,2.54
PctZero,0.01,100,99.99
MaxRate,8.46,127,118.54
MinRate,0.254,10.92,10.666
Decay,2,7,5
DryTime,2,14,12
Por,0.4,0.5,0.1
FC,0.06,0.38,0.32
WP,0.024,0.265,0.241
Ksat,0.25,12.7,12.45
Rough,0.01,0.026,0.016
Kdecay,0.002739726,0.2,0.197260274
BCoeff2,0.5,2,1.5
WCoeff2,0.066,0.214,0.148
